DATE,IRLTLT01ESM156N
2005-01-01,3.590952381
2005-02-01,3.58065
2005-03-01,3.733428571
2005-04-01,3.529285714
2005-05-01,3.359681818
2005-06-01,3.185409091
2005-07-01,3.21947619
2005-08-01,3.23126087
2005-09-01,3.088363636
2005-10-01,3.27252381
2005-11-01,3.476590909
2005-12-01,3.368571429
2006-01-01,3.330590909
2006-02-01,3.4829
2006-03-01,3.648913043
2006-04-01,3.918888889
2006-05-01,3.986318182
2006-06-01,3.988181818
2006-07-01,4.023904762
2006-08-01,3.892565217
2006-09-01,3.763285714
2006-10-01,3.812909091
2006-11-01,3.747
2006-12-01,3.816263158
2007-01-01,4.072454545
2007-02-01,4.1108
2007-03-01,4.008681818
2007-04-01,4.208736842
2007-05-01,4.336285714
2007-06-01,4.620285714
2007-07-01,4.596227273
2007-08-01,4.398130435
2007-09-01,4.354
2007-10-01,4.378347826
2007-11-01,4.247863636
2007-12-01,4.347705882
2008-01-01,4.182727273
2008-02-01,4.144095238
2008-03-01,4.117631579
2008-04-01,4.310272727
2008-05-01,4.42215
2008-06-01,4.791619048
2008-07-01,4.797863636
2008-08-01,4.559117647
2008-09-01,4.568333333
2008-10-01,4.466
2008-11-01,4.1468
2008-12-01,3.858176471
2009-01-01,4.145842105
2009-02-01,4.23355
2009-03-01,4.058761905
2009-04-01,4.00575
2009-05-01,4.05425
2009-06-01,4.235045455
2009-07-01,4.011956522
2009-08-01,3.778380952
2009-09-01,3.803227273
2009-10-01,3.771090909
2009-11-01,3.78952381
2009-12-01,3.8042
2010-01-01,3.98865
2010-02-01,3.9781
2010-03-01,3.830478261
2010-04-01,3.901421053
2010-05-01,4.084142857
2010-06-01,4.5555
2010-07-01,4.433090909
2010-08-01,4.037181818
2010-09-01,4.094636364
2010-10-01,4.03652381
2010-11-01,4.685904762
2010-12-01,5.374380952
2011-01-01,5.379333333
2011-02-01,5.2578
2011-03-01,5.249434783
2011-04-01,5.328736842
2011-05-01,5.322181818
2011-06-01,5.479863636
2011-07-01,5.824857143
2011-08-01,5.252347826
2011-09-01,5.200227273
2011-10-01,5.251333333
2011-11-01,6.192090909
2011-12-01,5.50452381
2012-01-01,5.399285714
2012-02-01,5.111095238
2012-03-01,5.169727273
2012-04-01,5.79
2012-05-01,6.125545455
2012-06-01,6.589380952
2012-07-01,6.795
2012-08-01,6.581285714
2012-09-01,5.9205
2012-10-01,5.646590909
2012-11-01,5.690090909
2012-12-01,5.339944444
2013-01-01,5.050272727
2013-02-01,5.2183
2013-03-01,4.92135
2013-04-01,4.591095238
2013-05-01,4.246318182
2013-06-01,4.6707
2013-07-01,4.660173913
2013-08-01,4.507181818
2013-09-01,4.416904762
2013-10-01,4.216347826
2013-11-01,4.10635
2013-12-01,4.13855
2014-01-01,3.785
2014-02-01,3.56125
2014-03-01,3.312
2014-04-01,3.10415
2014-05-01,2.933428571
2014-06-01,2.71247619
2014-07-01,2.671
2014-08-01,2.4194
2014-09-01,2.196045455
2014-10-01,2.111304348
2014-11-01,2.07055
2014-12-01,1.785368421
2015-01-01,1.542095238
2015-02-01,1.5131
2015-03-01,1.225818182
2015-04-01,1.31275
2015-05-01,1.770631579
2015-06-01,2.233954545
2015-07-01,2.100695652
2015-08-01,1.949761905
2015-09-01,2.030772727
2015-10-01,1.728181818
2015-11-01,1.727666667
2015-12-01,1.685619048
2016-01-01,1.72795
2016-02-01,1.72352381
2016-03-01,1.550761905
2016-04-01,1.51352381
2016-05-01,1.5665
2016-06-01,1.479954545
2016-07-01,1.169095238
2016-08-01,1.014304348
2016-09-01,1.040909091
2016-10-01,1.072619048
2016-11-01,1.423818182
2016-12-01,1.436666667
2017-01-01,1.466318182
2017-02-01,1.703
2017-03-01,1.717521739
2017-04-01,1.617777778
2017-05-01,1.568409091
2017-06-01,1.452318182
2017-07-01,1.597809524
2017-08-01,1.484863636
2017-09-01,1.541285714
2017-10-01,1.614681818
2017-11-01,1.488772727
2017-12-01,1.441631579
2018-01-01,1.473863636
2018-02-01,1.5178
2018-03-01,1.349619048
2018-04-01,1.2183
2018-05-01,1.385818182
2018-06-01,1.372904762
2018-07-01,1.317545455
2018-08-01,1.372391304
2018-09-01,1.4418
2018-10-01,1.573565217
2018-11-01,1.582409091
2018-12-01,1.426210526
2019-01-01,1.378772727
2019-02-01,1.28095
2019-03-01,1.126857143
2019-04-01,1.0623
2019-05-01,0.879681818
2019-06-01,0.4994
2019-07-01,0.355130435
2019-08-01,0.141772727
2019-09-01,0.183380952
2019-10-01,0.202521739
2019-11-01,0.384952381
2019-12-01,0.4365
2020-01-01,0.418863636
2020-02-01,0.2742
2020-03-01,0.509318182
2020-04-01,0.8217
2020-05-01,0.747809524
2020-06-01,0.517090909
2020-07-01,0.376608696
2020-08-01,0.301
2020-09-01,0.280681818
2020-10-01,0.170181818
2020-11-01,0.094095238
2020-12-01,0.042181818
2021-01-01,0.07825
2021-02-01,0.22555
2021-03-01,0.309608696
2021-04-01,0.36725
2021-05-01,0.516571429
2021-06-01,0.4455
2021-07-01,0.332772727
2021-08-01,0.218227273
2021-09-01,0.330272727
2021-10-01,0.471
2021-11-01,0.476681818
2021-12-01,0.413318182
2022-01-01,0.66452381
2022-02-01,1.11215
