Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=117.BSI.M.U2.N.V.M10.X.1.U2.2300.Z01.E
,BSI.M.U2.N.V.M10.X.1.U2.2300.Z01.E
,"Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M1, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Neither seasonally nor working day adjusted"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
,,obs. status
2021Nov,11193715,Provisional value (P)
2021Oct,11103490,Normal value (A)
2021Sep,11035189,Normal value (A)
2021Aug,10956486,Normal value (A)
2021Jul,10914870,Normal value (A)
2021Jun,10811168,Normal value (A)
2021May,10684354,Normal value (A)
2021Apr,10569918,Normal value (A)
2021Mar,10490241,Normal value (A)
2021Feb,10398675,Normal value (A)
2021Jan,10326156,Normal value (A)
2020Dec,10278866,Normal value (A)
2020Nov,10167497,Normal value (A)
2020Oct,10025312,Normal value (A)
2020Sep,9923458,Normal value (A)
2020Aug,9855981,Normal value (A)
2020Jul,9813114,Normal value (A)
2020Jun,9768864,Normal value (A)
2020May,9681996,Normal value (A)
2020Apr,9490647,Normal value (A)
2020Mar,9312555,Normal value (A)
2020Feb,9012690,Normal value (A)
2020Jan,8927390,Normal value (A)
2019Dec,8975336,Normal value (A)
2019Nov,8971689,Normal value (A)
2019Oct,8846017,Normal value (A)
2019Sep,8788792,Normal value (A)
2019Aug,8786646,Normal value (A)
2019Jul,8697817,Normal value (A)
2019Jun,8669096,Normal value (A)
2019May,8574985,Normal value (A)
2019Apr,8487641,Normal value (A)
2019Mar,8441676,Normal value (A)
2019Feb,8303882,Normal value (A)
2019Jan,8262853,Normal value (A)
2018Dec,8301612,Normal value (A)
2018Nov,8256528,Normal value (A)
2018Oct,8160036,Normal value (A)
2018Sep,8152423,Normal value (A)
2018Aug,8082059,Normal value (A)
2018Jul,8080584,Normal value (A)
2018Jun,8086608,Normal value (A)
2018May,7994793,Normal value (A)
2018Apr,7892058,Normal value (A)
2018Mar,7840111,Normal value (A)
2018Feb,7777065,Normal value (A)
2018Jan,7767191,Normal value (A)
2017Dec,7786269,Normal value (A)
2017Nov,7723960,Normal value (A)
2017Oct,7646118,Normal value (A)
2017Sep,7620421,Normal value (A)
2017Aug,7571612,Normal value (A)
2017Jul,7544127,Normal value (A)
2017Jun,7515757,Normal value (A)
2017May,7436957,Normal value (A)
2017Apr,7406433,Normal value (A)
2017Mar,7309107,Normal value (A)
2017Feb,7218434,Normal value (A)
2017Jan,7183654,Normal value (A)
2016Dec,7194127,Normal value (A)
2016Nov,7145988,Normal value (A)
2016Oct,7043699,Normal value (A)
2016Sep,6984640,Normal value (A)
2016Aug,6961951,Normal value (A)
2016Jul,6967678,Normal value (A)
2016Jun,6901555,Normal value (A)
2016May,6867588,Normal value (A)
2016Apr,6815412,Normal value (A)
2016Mar,6721636,Normal value (A)
2016Feb,6688444,Normal value (A)
2016Jan,6666033,Normal value (A)
2015Dec,6631821,Normal value (A)
2015Nov,6592452,Normal value (A)
2015Oct,6525535,Normal value (A)
2015Sep,6438391,Normal value (A)
2015Aug,6416268,Normal value (A)
2015Jul,6408579,Normal value (A)
2015Jun,6361568,Normal value (A)
2015May,6302868,Normal value (A)
2015Apr,6203809,Normal value (A)
2015Mar,6119643,Normal value (A)
2015Feb,6061481,Normal value (A)
2015Jan,6031110,Normal value (A)
2014Dec,5967949,Normal value (A)
2014Nov,5808011,Normal value (A)
2014Oct,5707826,Normal value (A)
2014Sep,5669000,Normal value (A)
2014Aug,5629173,Normal value (A)
2014Jul,5592578,Normal value (A)
2014Jun,5582074,Normal value (A)
2014May,5537554,Normal value (A)
2014Apr,5479978,Normal value (A)
2014Mar,5442028,Normal value (A)
2014Feb,5409151,Normal value (A)
2014Jan,5399965,Normal value (A)
2013Dec,5425926,Normal value (A)
2013Nov,5412907,Normal value (A)
2013Oct,5365733,Normal value (A)
2013Sep,5329052,Normal value (A)
2013Aug,5307183,Normal value (A)
2013Jul,5281271,Normal value (A)
2013Jun,5291405,Normal value (A)
2013May,5247022,Normal value (A)
2013Apr,5221702,Normal value (A)
2013Mar,5152532,Normal value (A)
2013Feb,5101877,Normal value (A)
2013Jan,5092404,Normal value (A)
2012Dec,5151391,Normal value (A)
2012Nov,5091616,Normal value (A)
2012Oct,5056470,Normal value (A)
2012Sep,5022848,Normal value (A)
2012Aug,4979011,Normal value (A)
2012Jul,4982750,Normal value (A)
2012Jun,4958227,Normal value (A)
2012May,4883085,Normal value (A)
2012Apr,4837149,Normal value (A)
2012Mar,4831826,Normal value (A)
2012Feb,4781846,Normal value (A)
2012Jan,4815736,Normal value (A)
2011Dec,4866634,Normal value (A)
2011Nov,4782428,Normal value (A)
2011Oct,4765507,Normal value (A)
2011Sep,4758480,Normal value (A)
2011Aug,4732792,Normal value (A)
2011Jul,4751436,Normal value (A)
2011Jun,4769348,Normal value (A)
2011May,4714712,Normal value (A)
2011Apr,4726866,Normal value (A)
2011Mar,4692936,Normal value (A)
2011Feb,4677691,Normal value (A)
2011Jan,4711971,Normal value (A)
2010Dec,4754390,Normal value (A)
2010Nov,4687752,Normal value (A)
2010Oct,4671805,Normal value (A)
2010Sep,4664407,Normal value (A)
2010Aug,4663060,Normal value (A)
2010Jul,4696209,Normal value (A)
2010Jun,4713441,Normal value (A)
2010May,4663769,Normal value (A)
2010Apr,4625855,Normal value (A)
2010Mar,4544318,Normal value (A)
2010Feb,4538879,Normal value (A)
2010Jan,4554112,Normal value (A)
2009Dec,4556171,Normal value (A)
2009Nov,4472348,Normal value (A)
2009Oct,4434569,Normal value (A)
2009Sep,4379347,Normal value (A)
2009Aug,4317628,Normal value (A)
2009Jul,4311001,Normal value (A)
2009Jun,4311633,Normal value (A)
2009May,4221129,Normal value (A)
2009Apr,4197570,Normal value (A)
2009Mar,4130772,Normal value (A)
2009Feb,4101868,Normal value (A)
2009Jan,4096150,Normal value (A)
2008Dec,4035742,Normal value (A)
2008Nov,3969681,Normal value (A)
2008Oct,3944467,Normal value (A)
2008Sep,3877017,Normal value (A)
2008Aug,3790298,Normal value (A)
2008Jul,3839031,Normal value (A)
2008Jun,3914925,Normal value (A)
2008May,3868022,Normal value (A)
2008Apr,3837533,Normal value (A)
2008Mar,3852527,Normal value (A)
2008Feb,3801133,Normal value (A)
2008Jan,3851627,Normal value (A)
2007Dec,3901280,Normal value (A)
2007Nov,3836516,Normal value (A)
2007Oct,3796032,Normal value (A)
2007Sep,3827756,Normal value (A)
2007Aug,3754392,Normal value (A)
2007Jul,3836225,Normal value (A)
2007Jun,3849587,Normal value (A)
2007May,3780482,Normal value (A)
2007Apr,3758614,Normal value (A)
2007Mar,3738987,Normal value (A)
2007Feb,3678110,Normal value (A)
2007Jan,3685739,Normal value (A)
2006Dec,3758611,Normal value (A)
2006Nov,3612793,Normal value (A)
2006Oct,3566556,Normal value (A)
2006Sep,3583870,Normal value (A)
2006Aug,3518324,Normal value (A)
2006Jul,3574988,Normal value (A)
2006Jun,3600681,Normal value (A)
2006May,3552068,Normal value (A)
2006Apr,3534458,Normal value (A)
2006Mar,3469610,Normal value (A)
2006Feb,3442605,Normal value (A)
2006Jan,3444339,Normal value (A)
2005Dec,3482137,Normal value (A)
2005Nov,3379139,Normal value (A)
2005Oct,3349922,Normal value (A)
2005Sep,3323148,Normal value (A)
2005Aug,3269142,Normal value (A)
2005Jul,3320881,Normal value (A)
2005Jun,3304862,Normal value (A)
2005May,3064079,Normal value (A)
2005Apr,3031049,Normal value (A)
2005Mar,2997572,Normal value (A)
2005Feb,2970119,Normal value (A)
2005Jan,2965989,Normal value (A)
2004Dec,2948883,Normal value (A)
2004Nov,2913705,Normal value (A)
2004Oct,2865999,Normal value (A)
2004Sep,2857107,Normal value (A)
2004Aug,2795674,Normal value (A)
2004Jul,2834795,Normal value (A)
2004Jun,2833384,Normal value (A)
2004May,2788600,Normal value (A)
2004Apr,2770661,Normal value (A)
2004Mar,2745527,Normal value (A)
2004Feb,2703312,Normal value (A)
2004Jan,2702875,Normal value (A)
2003Dec,2727088,Normal value (A)
2003Nov,2667754,Normal value (A)
2003Oct,2620362,Normal value (A)
2003Sep,2615593,Normal value (A)
2003Aug,2573150,Normal value (A)
2003Jul,2584795,Normal value (A)
2003Jun,2605444,Normal value (A)
2003May,2561474,Normal value (A)
2003Apr,2527118,Normal value (A)
2003Mar,2497509,Normal value (A)
2003Feb,2451197,Normal value (A)
2003Jan,2440875,Normal value (A)
2002Dec,2499429,Normal value (A)
2002Nov,2414586,Normal value (A)
2002Oct,2355081,Normal value (A)
2002Sep,2364441,Normal value (A)
2002Aug,2301453,Normal value (A)
2002Jul,2328109,Normal value (A)
2002Jun,2349754,Normal value (A)
2002May,2290532,Normal value (A)
2002Apr,2278113,Normal value (A)
2002Mar,2238652,Normal value (A)
2002Feb,2228301,Normal value (A)
2002Jan,2239338,Normal value (A)
2001Dec,2278976,Normal value (A)
2001Nov,2210574,Normal value (A)
2001Oct,2175722,Normal value (A)
2001Sep,2187299,Normal value (A)
2001Aug,2128380,Normal value (A)
2001Jul,2167979,Normal value (A)
2001Jun,2191444,Normal value (A)
2001May,2150338,Normal value (A)
2001Apr,2129763,Normal value (A)
2001Mar,2096001,Normal value (A)
2001Feb,2084013,Normal value (A)
2001Jan,2083703,Normal value (A)
2000Dec,2084600,Normal value (A)
2000Nov,2020878,Normal value (A)
2000Oct,2002079,Normal value (A)
2000Sep,2002243,Normal value (A)
2000Aug,1989355,Normal value (A)
2000Jul,2022811,Normal value (A)
2000Jun,2024238,Normal value (A)
2000May,2009080,Normal value (A)
2000Apr,2027142,Normal value (A)
2000Mar,1986051,Normal value (A)
2000Feb,1973795,Normal value (A)
2000Jan,1982585,Normal value (A)
1999Dec,1972045,Normal value (A)
1999Nov,1918079,Normal value (A)
1999Oct,1882966,Normal value (A)
1999Sep,1876545,Normal value (A)
1999Aug,1850990,Normal value (A)
1999Jul,1885415,Normal value (A)
1999Jun,1886693,Normal value (A)
1999May,1843509,Normal value (A)
1999Apr,1811021,Normal value (A)
1999Mar,1796445,Normal value (A)
1999Feb,1775685,Normal value (A)
1999Jan,1805976,Normal value (A)
1998Dec,1785398,Normal value (A)
1998Nov,1709659,Normal value (A)
1998Oct,1660078,Normal value (A)
1998Sep,1657141,Normal value (A)
1998Aug,1635112,Normal value (A)
1998Jul,1648020,Normal value (A)
1998Jun,1686330,Normal value (A)
1998May,1638215,Normal value (A)
