Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=320.MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Calendar and seasonally adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,
,,obs. status
2021Q3,109.50,Normal value (A)
2021Q2,108.31,Normal value (A)
2021Q1,108.06,Normal value (A)
2020Q4,107.39,Normal value (A)
2020Q3,106.61,Normal value (A)
2020Q2,107.75,Normal value (A)
2020Q1,106.45,Normal value (A)
2019Q4,106.09,Normal value (A)
2019Q3,105.50,Normal value (A)
2019Q2,105.11,Normal value (A)
2019Q1,104.66,Normal value (A)
2018Q4,104.27,Normal value (A)
2018Q3,103.73,Normal value (A)
2018Q2,103.33,Normal value (A)
2018Q1,102.96,Normal value (A)
2017Q4,102.55,Normal value (A)
2017Q3,102.17,Normal value (A)
2017Q2,101.93,Normal value (A)
2017Q1,101.48,Normal value (A)
2016Q4,101.19,Normal value (A)
2016Q3,101.03,Normal value (A)
2016Q2,100.81,Normal value (A)
2016Q1,100.64,Normal value (A)
2015Q4,100.41,Normal value (A)
2015Q3,100.22,Normal value (A)
2015Q2,99.86,Normal value (A)
2015Q1,99.51,Normal value (A)
2014Q4,98.97,Normal value (A)
2014Q3,98.63,Normal value (A)
2014Q2,98.46,Normal value (A)
2014Q1,98.36,Normal value (A)
2013Q4,97.88,Normal value (A)
2013Q3,97.80,Normal value (A)
2013Q2,97.67,Normal value (A)
2013Q1,97.40,Normal value (A)
2012Q4,96.95,Normal value (A)
2012Q3,96.65,Normal value (A)
2012Q2,96.30,Normal value (A)
2012Q1,96.08,Normal value (A)
2011Q4,95.73,Normal value (A)
2011Q3,95.40,Normal value (A)
2011Q2,95.09,Normal value (A)
2011Q1,94.84,Normal value (A)
2010Q4,94.66,Normal value (A)
2010Q3,94.44,Normal value (A)
2010Q2,94.01,Normal value (A)
2010Q1,93.92,Normal value (A)
2009Q4,93.78,Normal value (A)
2009Q3,93.57,Normal value (A)
2009Q2,93.53,Normal value (A)
2009Q1,93.69,Normal value (A)
2008Q4,93.30,Normal value (A)
2008Q3,92.94,Normal value (A)
2008Q2,92.75,Normal value (A)
2008Q1,92.17,Normal value (A)
2007Q4,91.81,Normal value (A)
2007Q3,91.06,Normal value (A)
2007Q2,90.58,Normal value (A)
2007Q1,90.17,Normal value (A)
2006Q4,89.44,Normal value (A)
2006Q3,88.93,Normal value (A)
2006Q2,88.47,Normal value (A)
2006Q1,87.95,Normal value (A)
2005Q4,87.70,Normal value (A)
2005Q3,87.04,Normal value (A)
2005Q2,86.70,Normal value (A)
2005Q1,86.30,Normal value (A)
2004Q4,85.94,Normal value (A)
2004Q3,85.49,Normal value (A)
2004Q2,85.21,Normal value (A)
2004Q1,84.70,Normal value (A)
2003Q4,84.23,Normal value (A)
2003Q3,84.10,Normal value (A)
2003Q2,83.50,Normal value (A)
2003Q1,83.02,Normal value (A)
2002Q4,82.48,Normal value (A)
2002Q3,82.17,Normal value (A)
2002Q2,81.55,Normal value (A)
2002Q1,81.34,Normal value (A)
2001Q4,80.78,Normal value (A)
2001Q3,80.17,Normal value (A)
2001Q2,79.59,Normal value (A)
2001Q1,79.16,Normal value (A)
2000Q4,78.55,Normal value (A)
2000Q3,78.16,Normal value (A)
2000Q2,77.78,Normal value (A)
2000Q1,77.51,Normal value (A)
1999Q4,77.23,Normal value (A)
1999Q3,76.98,Normal value (A)
1999Q2,76.83,Normal value (A)
1999Q1,76.68,Normal value (A)
1998Q4,76.57,Normal value (A)
1998Q3,75.81,Normal value (A)
1998Q2,75.45,Normal value (A)
1998Q1,75.05,Normal value (A)
1997Q4,75.17,Normal value (A)
1997Q3,74.88,Normal value (A)
1997Q2,74.74,Normal value (A)
1997Q1,74.91,Normal value (A)
1996Q4,75.18,Normal value (A)
1996Q3,75.39,Normal value (A)
1996Q2,75.06,Normal value (A)
1996Q1,74.67,Normal value (A)
1995Q4,74.16,Normal value (A)
1995Q3,73.69,Normal value (A)
1995Q2,72.70,Normal value (A)
1995Q1,72.18,Normal value (A)
